staroplaninskilegendi_01_yovkov_0000|Старопланински легенди от Юрдан Йовков
staroplaninskilegendi_01_yovkov_0048|Каква чудновата бърканица, мислеше си той, от жена, дете и дявол. И как всичко й прилича, каже нещо, умно е. Направи нещо, хубаво е.
staroplaninskilegendi_01_yovkov_0049|И той е виждаше тъй както беше я видял, когато държаше иглата с конеца в устата си, гледаше го и се усмихваше.
staroplaninskilegendi_01_yovkov_0050|Не игла, помисли си пак ще би ли въздъхна. Нож може да държите и в устата си и от той нож човек на драго сърце би умрял.
staroplaninskilegendi_01_yovkov_0051|Тък му в това време минаха търговци и хайдутите ги спряха. Изплашени, прежълтели като смин, те едва се крепяха върху седлата на конете си и чакаха да чуят какво ще речеше Бил.
staroplaninskilegendi_01_yovkov_0052|но Шибил не ги накара да отворят десагите си и да потърси какво има в кемерите им. Отдалеч той отваря приказка за Туи и за Оной, споменава за Велико кехая и най-после заговорва за Рада.
staroplaninskilegendi_01_yovkov_0053|Пойдуйте те гледат в земята и изгарят от срам.
staroplaninskilegendi_01_yovkov_0054|Шибил пуща търговците да си вървят и спраща ги до нея и да я високо им заръчва да носят много здраве нарада.
staroplaninskilegendi_01_yovkov_0055|Хайдутите вече не продумаха на Шибиля, нито смеяха да го погледнат в очите. И когато вечерта се прибраха в планината навърха с сините камъни, между орловите гнезда, и Шибил си легна и заспа, те останаха около огъни и си приказваха.
staroplaninskilegendi_01_yovkov_0056|Планината си беше същата, обежището им беше сигурно. И все пак те бяха неспокойни и плахо се оглеждаха наоколо. Изкрещи някъде лисица, стори им си, че човек кашли. Изпука някоя съчка, мислят, че е иде някой.
staroplaninskilegendi_01_yovkov_0057|И те поблизо се навеждат един към друг, шепнат си и гледат как Шибил се върти в съня си, как пъшка и приказва нещо. Тогава те станаха и се застягаха за път. Не го убиха, но избягаха от него, както се бяга от Чумъв.
staroplaninskilegendi_01_yovkov_0058|Шебело стана сам.
staroplaninskilegendi_01_yovkov_0059|И тогава парите от царските хазни, които беше обирал, пръстените измъкнете от ръцете на живи и на умрели, златото и среброто от черкви и монастири, всичкото имане, което той беше натрупал и беше скрил из пещери и хрълупи, всичко това потече в къщата на Велико Кихая, все подарат си на рада.
staroplaninskilegendi_01_yovkov_0060|Скъпи подаръци за всяко много здраве от нея. Но ето, той получи хабер, който го замая.
staroplaninskilegendi_01_yovkov_0061|Рада го викаше да слезе в село.
staroplaninskilegendi_01_yovkov_0062|Баща им даваше благословията си, Мурад бе им упрощаваше.
staroplaninskilegendi_01_yovkov_0063|И в знак, че думата му е вярна, Кърсер Даридът му пращаше божи гробски бройници от Кихлибар.
staroplaninskilegendi_01_yovkov_0064|Дълго време ще бил мисли дали това не е примка. Всичко, което имаше, беше годал.
staroplaninskilegendi_01_yovkov_0065|А гората беше се раззеленила вече цяла, натежаа и потъмняа, поляните се покриха с висока трева, цъфна божурът, цъфна и росенът, самодивското цвете.
staroplaninskilegendi_01_yovkov_0066|Издолищата се понесе дъх на люляка и на липи.
staroplaninskilegendi_01_yovkov_0067|И когато фосоите проехтяреват на рогач, а в старата кория заглукаха гриви гълъби, корав се стори на шибеля камъкът, на който вечер слагаше главата си и тежка му се видя пушката. Той повече не можеше да трае и тръгна за село.
staroplaninskilegendi_01_yovkov_0068|Когато потегли от сините камъни беше пладни, когато слезе долу на пътя и се обърна назад, върховете на планината и канарите по тях бяха се зачервили от зализа на слънцето.
staroplaninskilegendi_01_yovkov_0069|Но орлите още се виеха пред белите сипе и камените стени на орлите. Тие орли, които бяха навикнали на леш и които често пъти, кацнали на някоя скала, рваха човешки меса.
staroplaninskilegendi_01_yovkov_0070|Мръкваше се, вдалищата се спускаше синкава мъгла, побаирите лазеха дълги сенки.
staroplaninskilegendi_01_yovkov_0071|Планината беше се спотеила, тиха, замислена, сякаш гледаше след чебилия и питаше, къде?
staroplaninskilegendi_01_yovkov_0072|Домъчня му на Шибиля, съмнението като черве изъгриза сърцето му.
staroplaninskilegendi_01_yovkov_0073|Той се дна на един камък и се замисли,
staroplaninskilegendi_01_yovkov_0074|и всичко пак прекара през ума си всичко премисли.
staroplaninskilegendi_01_yovkov_0075|Когато повдигна очи, месецът беше изгрял.
staroplaninskilegendi_01_yovkov_0076|Друг свят виждаше пред себе си Шибил и друга беше станала планината, разтлана на широко, мътна, изгладена като синя стена, загърната в бяло було.
staroplaninskilegendi_01_yovkov_0077|В черни сенки се спотайваха горите, от поляните идеше хлад и бяла мъгла пъпляше по тях и се извиваше като змей.
staroplaninskilegendi_01_yovkov_0078|Някъде в мрака светваше светулка, написваше с огнена черта някакъв знак, някаква тайна дума и угасваше.
staroplaninskilegendi_01_yovkov_0079|А дълбоко вдола нещо пееше. Реката ли беше това? Пееше тъй тихо, тъй хубаво.
staroplaninskilegendi_01_yovkov_0080|ще бил гледаше пред себе си и мислеше.
staroplaninskilegendi_01_yovkov_0081|В очите му като къси жълти жици се чупиха лъчите на месеца, изкряха и се сплитаха в някакъв смътен образ, който то се явяваше, то се изгубваше.
staroplaninskilegendi_01_yovkov_0082|Но ще бил ясно виждаше две очи, които го гледат, една усмивка, която го мами.
staroplaninskilegendi_01_yovkov_0083|Той стана. Тръгна подири тези очи и тази усмивка и повече не се обърна назад.
staroplaninskilegendi_01_yovkov_0084|Три предпазливи удъра, тихо пошепнато. Аз съм Мустафа.
staroplaninskilegendi_01_yovkov_0085|Вратата се отваря и той влиза в бащината си къща.
staroplaninskilegendi_01_yovkov_0086|На огнището гореше огън, сенки играеха по стените. По главите на пищовите на Шибиля, по паласките и пискюлите на волията му блясват отражения. Висок и снажен, къщата сякаш беше тясна за него. Той срещна очите на майка си и разбрав всичката тревога, която я мъчеше.
staroplaninskilegendi_01_yovkov_0087|«Мустафа», каза тя, «защо дойде? Ще идеш ли там?» «Ще ида». «Ще идеш? Кога?»
staroplaninskilegendi_01_yovkov_0088|Утре.
staroplaninskilegendi_01_yovkov_0089|Старата жена познаваше добре си нас и знаеше, че е излично да настоява, да го раздумва.
staroplaninskilegendi_01_yovkov_0090|Тя седна край огъня, обхвана с ръце коленете си, потопилче вземята и зареди.
staroplaninskilegendi_01_yovkov_0091|Мустафа, от три дни сеймените на Кърсердара леят куршуми и точат ножовете си. Опитват ги с пръст да видят дали са остри. Косъм да спуснат върху тях, косъма ще разсекат. И сучат мустаците си и гледат към нас. Мустафа, нещо лошо има да стане.
staroplaninskilegendi_01_yovkov_0092|Шибил се обърна и я погледна, но погледът му беше такъв, че тя не знаеше дали той беше я чул и дали беше я разбрал. Тя се спотаи и не каза вече нищо.
staroplaninskilegendi_01_yovkov_0093|А Шибил се разпасваше и сваляше от себе си пищови с позлатени дръжки, кулакли и ножове, работени с ребропаласки, всичко това, което за него беше вече тежко и непотребно време.
staroplaninskilegendi_01_yovkov_0094|Горе, на черковното кафене до разтворения прозорец седят кърсердаринът Морат Бей и Велико Кихая. Бей е темнамръщен, мълчи и замислено смуча чибука си. Но Велико Кихая е весел, той ходи из стаята, размята дъното на широките си шалвари, час по час вади от пъстрия си купринен пояс, голям като топка часовник, поглежда го и пак го скрива. После потрива ръце и дума. «Всичко е наредено, Бей ефенди, гледай си работата.
staroplaninskilegendi_01_yovkov_0095|На масата пред кърсердарина са сложени две кърпи – бяла и червена. Това са условните знаци за сеймените скрити в посия. Ако беят развео от прозореца бялата кърпа, това значеше милост. Ако развееже червената, значеше смърт.
staroplaninskilegendi_01_yovkov_0096|и те чакат и поглеждат към улицата.
staroplaninskilegendi_01_yovkov_0097|Никой не се вижда. На портата не е излязла Рада, нито Мустафа се вижда да иде. Велико Кихая не може да се стърпи и се завтича до къщи.
staroplaninskilegendi_01_yovkov_0098|Е? Пита беят, когато той се връща. Всичко е наред. Облякла се в най-хубавата си премяна, а али надлазен е лек, синеджен фезе на Рокля. Същота и както беше се облякла, когато я пратихме в планината. И жена на Лие, гледа се в огледалото, пише веждите си и се смее.
staroplaninskilegendi_01_yovkov_0099|— Какво ще се смее? — казва среди тубеят. Не знае ли какво има да стане? — Знае. Как да не знае? Ти каза ли всичко? — Хм, всичко не й казах. Можеше ли? — Ама не. Всичко й казах. Всичко. Ефендим, не бери грижа. Работата е наред.
staroplaninskilegendi_01_yovkov_0100|Минава още час. Никой не иде. Велико ги хаятича пак към къщи. Бави се там сега повече и най-после се връща.
staroplaninskilegendi_01_yovkov_0101|Кърсердаринът глади брадата си и мълчи.
staroplaninskilegendi_01_yovkov_0102|Сини кръгове от дим се огъват и виет около главата му.
staroplaninskilegendi_01_yovkov_0103|Но ето, рада стоеше на портата, отдолу идеше Мустафа. Кърсердарините велико кехая тичат към прозорица, крият се зад предето, гледат са за тайн дъх.
staroplaninskilegendi_01_yovkov_0104|Мустафа върви посредата на улицата. Върху покриви, върху овошки грее слънце.
staroplaninskilegendi_01_yovkov_0105|Далеч, в дъното на улицата се виждат планините, където Мустафа беше цар. Няма оръжие по него. Но как е пременен? Дрехи от синьо брашовско сукно, сърма и злато. Тънък и висок, малко отслабнал, малко почернял, но хубав и напет. В ръцете му бройница от кихлибар и стрък червен карамфил. Бройницата отбея, карамфилът отрада. Той е близо.
staroplaninskilegendi_01_yovkov_0106|Беят мачка бялата си брада и дума. Какъв юнак! Какъв хубавец!
staroplaninskilegendi_01_yovkov_0107|Кърпата бе е Фенди, кърпата, вика Велико Кихая. Какъв юнак! повтаря бе Етон Есен. Какъв хубавец!
staroplaninskilegendi_01_yovkov_0108|Велико кихая грабва червената кърпа и тича към прозореца. Беят го хваща за ръката.
staroplaninskilegendi_01_yovkov_0109|Не, Чорбаджи, такъв човек не бива да умре. А момичето ми, а честа ми... Вика Велико Кихая, отскубва се и отива до прозореца и размахва червената кърпа.
staroplaninskilegendi_01_yovkov_0110|Припукаха пушки. Стъклата по прозорците зазвънтяха. Къщите се залюляха. Върху земята сякаш падна черна сянка.
staroplaninskilegendi_01_yovkov_0111|Шибил се спря, страшен, хубав.
staroplaninskilegendi_01_yovkov_0112|Нека се броеницата, но карамфила не хвърли. Кресто сръце на гърдия зачака.
staroplaninskilegendi_01_yovkov_0113|Миг 2 Колкото се имените отново да напълнят пушките си.
staroplaninskilegendi_01_yovkov_0114|Остр писък се издигна от към долната махала. Шибил не трепна. Друг писък от към портата на Велико Кихая. Шибил се обърна. Беше рада. Тя тичаше към него и простираше ръце, като да го запази. Той разтвори ръце, като да я пригърне.
staroplaninskilegendi_01_yovkov_0115|Припукаха пак пушки.
staroplaninskilegendi_01_yovkov_0116|Падна Шибил, падна най-напред на лицето си, после Възнак. Падна до него и Рада.
staroplaninskilegendi_01_yovkov_0117|и всичко утихна.
staroplaninskilegendi_01_yovkov_0118|Слънцето огряваше камъните на кълдърама.
staroplaninskilegendi_01_yovkov_0119|Като пятно кръв между двата трупа се червене, ще карам филът.
staroplaninskilegendi_01_yovkov_0120|От черковното кафене, от прозореца някой отчаяно размахваше бяла кърпа.
staroplaninskilegendi_01_yovkov_0121|Край нащебил.
staroplaninskilegendi_02_yovkov_0000|Кошута от старопланински легенди на Юрдан Йовков
staroplaninskilegendi_02_yovkov_0001|Записано за LibriVox.org Записът е обществено достояние.
staroplaninskilegendi_02_yovkov_0002|Него повика, както си вика, па ми поблея като кошута.
staroplaninskilegendi_02_yovkov_0003|Ето там, гдето се спущат белите сипи откъм крайница, вдола, беше воденицата на дяда Цона. Стоят върбите, стои вадата, но воденицата я няма. Останали са само едни срутени довари, обрасли скъпина и две-три греди, посивели и сплескани като гъба. Защото всичко това беше от коля и днес нито хората, нито местата са такива, каквито бяха едно време.
staroplaninskilegendi_02_yovkov_0004|Два мъдуши дохаждаха в тая воденица – сам Дядо Цоно и син му Стефан. Дядо Цоно беше стар човек. Всички стари хора са приведени и докато младите гледат нагоре, старите отправят погледите си надолу и гледат земята, която скоро ще ги прибере.
staroplaninskilegendi_02_yovkov_0005|Но дядо Цоно не беше само приведен, а от някаква болест беше просто пригънат надве и не можеше да ходи инак, освен като препречито ягата си отзад на кръста и се залови с ръце за двата и края. Тъй той запазваше равновесия и вървеше бавно, загледан в земята като че търсеше нещо. Когато одиваше на воденицата той не се отбиваше нито наляво, нито надясно, обикаляше и криволеше тъй, както криволи и самата пътека.
staroplaninskilegendi_02_yovkov_0006|Друг беше Стефан. За него нямаше път. Доде го видиш, че излиза из село, току виж озовал се над воденицата, штръкнал на баира, високи едър, какъвто си беше и децата, които често влизаха в градината да берат сливи, щом го видяха, не слизаха, а просто нападваха и бягаха, колкото им крака държат. Ще речеш, сокол се спуснал на върбчета.
staroplaninskilegendi_02_yovkov_0007|Но Стефан не винаги избираше прекия път за воденицата, понякога той слизаше надолу от могилата, там, дето на край селото беше къщата на муца Стоеничина. Тая муца беше врачка, разбираше от билки, знаеше всичко за юди и за самодиви. За самодивите тя казваше, че си отишли от коле, защото хората станали лоши, но все пак като че една от тях най-хубавата беше останала в къщата ѝ.
staroplaninskilegendi_02_yovkov_0008|Муца имаше хубава мума. За нея Стефан минаваше оттука, когато отиваше на воденицата. Те прехазваха в някой затулен кът на градината между сливите и слънчогледите. Той застанал отвън плета, тя отвътре. Тя, руса, сине ока, срамижливо навела очи. Той, мургъв, с широки плещи, с малка черна брада, която обкръжва лицето, но не го закрива.
staroplaninskilegendi_02_yovkov_0009|Тънките му устни се усмихват, но очите му се остават остри, тъмни. С по едно пламъче вътре в зениците, в което гори сякаш лоша мисъл.
staroplaninskilegendi_02_yovkov_0010|Оттука Стефан вземеше ли или не цвете от дойна, на раменете му сякаш израстваха крила. Прескачеше до лове, мяташе се от баир на баир и за една минута беше при воденицата. Той отпушваше водата и кречеталото затракваше. А каква беше дядо Цоновата воденица? Нищо и никаква каштурка, ниска, схлупена, сякаш ластовиче гнездо, залепено на баира като под някоя стряха. Но голям беше корубестиято лук,
staroplaninskilegendi_02_yovkov_0011|От другата страна, като изтъмния зев на пещера, водата излизаше разпенена, плискаше се в доварите, плискаше се в една мокра и лъскава каменна плоча, поставена насреща, шумеше, пръскаше се на хиляди капчици, които като сит на руса пълниха въздуха.
staroplaninskilegendi_02_yovkov_0012|На това място винаги, когато имаше слънце, се явяваше една малка дъга. И сякаш всичката светлина на слънцето се събираше в тая дъга и всичко, що бе весело, пееше песента на кречеталото, защото наоколо нямаше нищо друго, освен мълчеливи долове и тъмни гори.
staroplaninskilegendi_02_yovkov_0013|Един ден Стефан, дядо Цоновият син, излезе от воденицата с мотика на рамо и тръгна да поправя вадата. Той стигна там, гдето водата излизаше от гората, разширява се на едно място и правеше той е хладен и бистер вир, в който жените от Жеро наперяха губери и белеха плътна.
staroplaninskilegendi_02_yovkov_0014|Сега нямаше никой, през водата се виждаха всички камъчета на дъното на вира, а наоколо пясъкът беше чист и изгладен като на панакида.
staroplaninskilegendi_02_yovkov_0015|Тук да ме потоя пясък и мъже стъпки.
staroplaninskilegendi_02_yovkov_0016|Стефан се спря, приклекна и започна да ги разглежда. Не бяха на коза, макар че козите на калистрата пасяха и плъдноваха наблизо. Не бяха и на крава, макар че селската черда минаваше от тука.
staroplaninskilegendi_02_yovkov_0017|Стефан гледаше стъпките, навеждаше се повече. Най-после той се изправи, лицето му светна, очите му заблещяха. Тия стъпки бяха стъпки на Кошута. Същата тая, която беше се появила в планината и за която приказваха вечер жените, когато гледаха пожарите в гората или слушаха да шумят кориите над село.
staroplaninskilegendi_02_yovkov_0018|Друг път всичко това им навяваше страх, но сега те гледаха планината с доверие и се радваха, защото там ходеше Кошутата.
staroplaninskilegendi_02_yovkov_0019|Овчарите разказваха как бягала като вятър, циганите дървари, които слизаха от планината, накичени на духо, скитки, здравеци и глика, разказваха, че я видели отблизо и очите й били също като очите на човек.
staroplaninskilegendi_02_yovkov_0020|Стефън, дядо Цоновия син, беше слушал всичко това. Но женския том и женските приказки за него бяха глупости. Той беше як, беше ловец и мисълта за кушутата запалваше същинска вълча стравградите му.
staroplaninskilegendi_02_yovkov_0021|Той се върна във воденицата, взе пушката си, нарами в олията и закачи на пояса си кратунката с барута. После отби водата, кръчеталото замлъкна и дъгата пред воденицата изгасна.
staroplaninskilegendi_02_yovkov_0022|Стана тихо и тъмно и Стефан забърза по козите пътеки нагоре из планината.
staroplaninskilegendi_02_yovkov_0023|Той ходи цял ден, слизаше в дълбоки долове, вървеше под клоните на стари буки и стари дъбове като под покрива на черква, и в нападалата шума виждаше или черните зарна на отровното биле, или червените шапки на чудновати гъби.
staroplaninskilegendi_02_yovkov_0024|На едно място видя вълк, на друго ясно отпечатана стъпка на мечка, а на трето ситни съчки се порониха над него и когато погледна нагоре видя кръглите и свирепи очи на дива котка.
staroplaninskilegendi_02_yovkov_0025|Стефаннито веднъж не сне пушката от рамото си. Той се изкачваше по високото било на планината, където вятърат къдреше тревата на поляните, а наоколо беше силни небе и бели облаци.
staroplaninskilegendi_02_yovkov_0026|От тук Стефан виждаше надалеч и тръсеше кошутата. Но кошутата я нямаше.
staroplaninskilegendi_02_yovkov_0027|Той не се отчаиваше и тръгваше отново. Намери овчарчетата и ги попита за кушутата, а те, като гледаха пушката на рамото му, изключените му вежди мълчаха и вдигаха рамене.
staroplaninskilegendi_02_yovkov_0028|Кучетата се спущаха върху него, но никой не отиваше да го отбрани.
staroplaninskilegendi_02_yovkov_0029|Стефан срещна и циганите дървари, весели, лъснати от слънцето, накичани с цвете. Къде е кошутата?
staroplaninskilegendi_02_yovkov_0030|Те го гледат, като че ли гледат мечка, измерват с очи високата му снага, измерват дългата му пушка и мълчат.
staroplaninskilegendi_02_yovkov_0031|А като отминат, той ги чува да вдигат страшна врява на своя език.
staroplaninskilegendi_02_yovkov_0032|Заловеца винаги остава някоя надежда и някое непрегледано място. Стефан ходи до мръкване и когато вече не виждаше нищо друго пред себе си, освен черен мрак, върна се във воденицата. На другия ден той пак преброди планината и пак се върна, без да беше видял нещо. На третия ден същото.
staroplaninskilegendi_02_yovkov_0033|И когато уморен Ниядосън слизаше измежду камънаците, чу, че някой го вика.
staroplaninskilegendi_02_yovkov_0034|Отсреща на една скала стоеше калистрат Козарят и сучеше върви от козина. — Стефанъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ-ъ
staroplaninskilegendi_02_yovkov_0035|и той се засмят тъй, че долуд заехтя.
staroplaninskilegendi_02_yovkov_0036|който знаеше кълистрат Козарят, знаеше го и цяло село.
staroplaninskilegendi_02_yovkov_0037|Вечер, жените се събираха на приказка. Планината гореше пожар.
staroplaninskilegendi_02_yovkov_0038|Нямаше дим, нямаше пламъци, само една начупена огнена линия сякаш безценна огърлица върху гърдите на царска дъщеря.
staroplaninskilegendi_02_yovkov_0039|Куриите шумяха, прилепи прелитаха безшумно под стрехите.
staroplaninskilegendi_02_yovkov_0040|Сред кръг от жени и момичета, муца Стоеничина приказваше
staroplaninskilegendi_02_yovkov_0041|Настъпи мълчание.
staroplaninskilegendi_02_yovkov_0042|Мута си почиваше или пак искаше да изпита силата на думите си. После пак продължи.
