zhetvariat_01_yovkov_0000|ЖЕТВАРЕТ ГЛАВА ПЪРВА
zhetvariat_01_yovkov_0061|Същото е примирително, с облекчение и взаимно уважение в приятелство се превършваха и те. И от тук от там погледите пак започваха да се насочват към масата на Груздана. Нямаше за какво да се приказва, време беше вече за нещо друго. Чумакът отново дърпаше монката. «Мирно!» – извика пак Груздан. «Где е гайдата?» «Ганю, къде си си запелял?» «Тука!»
zhetvariat_01_yovkov_0062|Сгайда подмишница, ганьо послушно застана пред гроздана. — Свери! — викна му той. — Транкалоята! Монка, ставай!
zhetvariat_01_yovkov_0063|Крайна глава 1
zhetvariat_01_yovkov_0064|Този запис е обществено достоянний.
zhetvariat_02_yovkov_0000|Житварят. Глава 2. Записано за LibriVox.org
zhetvariat_02_yovkov_0001|Житварят. Повест от Юрданьовков. Глава втора.
zhetvariat_02_yovkov_0002|С един-два дъха из Полинските гради на Ганя надуха Меха и Гайдата писна. Монгата излезе сред кръчмата, раздърпаха столове и маси, за да му открият мегдан. Но той не заигра веднага. Правеше само бавни кръгове, подемаше такта, подстягаше пояса си, наместеше по-добре кълпака си. Готвеше се.
zhetvariat_02_yovkov_0003|Разговорите в кръчмата затихнаха, чашите се сложиха на масите недопити, развеселени и жадни погледи се устримиха от всякъде. Знаяха добре всички как монката играе, но той все още не започваше истинската. Правеше същите тия лениви кръгове, уморителни и досадни вече.
zhetvariat_02_yovkov_0004|Изведнъж то е трепна, като че подхвърлен от пружина, провигна се високо и късо, опна ръце и заситни.
zhetvariat_02_yovkov_0005|Приведен и загледан към земята, той пристъпваше в такта на мелодията, отсечено и леко, завъртваше се изведнъж и като туреше ръцете си на кръста, че връзто й лудо заситняваше на едно място, после скъси и страстни виковето преклякваше, то се подигаше със светкавична бързина. И всичките я движения, повтаряха ли се редовно или пък изненадваха с разнообразието си, бяха всякога отмерени, плавни, красиви и силни. Хапчици под заблещяха по челото на монката,
zhetvariat_02_yovkov_0006|Никой не можеше равнодушно да гледа тая игра. Мелодията беше еднообразна, но бърза, игрива, весела. Лицата се проясняваха, очите загоряваха. Пред неодържимата съблаза на лудешкия ритъм заиграе най-малката фибра от якурави и силни хора. Провикваха се, удриха по масите, пляскаха с ръце. Някой скоче навън и револверни гармежи проечаха един след друг в нощта.
zhetvariat_02_yovkov_0007|Шомакът, който не забравяше, че монката играеше трънкалоята само по негово желание, беше станал на крака и се мъчеше да му подръжава от мястото си. Други се провираха между масите и се готовяха да играят с монката, но веднага спряха някак засрамени. Гроздан вече играеше срещу каменария. По-добра двойка не можеше и да се намери. И Гроздан играеше хубаво, малко по-въздържано и по-тежко от монката, но зато и пък мъжествена сила и красота имаше в цялата му фигура, напета и стройна.
zhetvariat_02_yovkov_0008|Изглеждаше, че те почнаха да се надиграват. Никой не искаше да покаже умората си и да се признае за победен. Гайдата редеше ситно-ситно, играта ставаше буйна, неодържима, лудешки и весела.
zhetvariat_02_yovkov_0009|Възторгът и опиенението у зрителите надмина всяка граница. Не се провикваха вече, а просто ревяха и виеха като луди, грабеха чаши от масата, грабеха цели шишета, още пълни с вино, запращаха ги далеч пред себе си и ги разбиваха на хиляди парчета.
zhetvariat_02_yovkov_0010|Най-после гроздан изведнъж спря, отпусна ръце и като дишаше тежко и спотени за червен, тръгна към мястото си. Спря и монката. Гайдата изпусна още няколко пискливи звука и замлъкна.
zhetvariat_02_yovkov_0011|Уморътът не беше само у играчите, те беше обща.
zhetvariat_02_yovkov_0012|Всички седнаха на местата си и настъпи тишина.
zhetvariat_02_yovkov_0013|Изведнъж тихо засвири кавал. Свиреше Дамян, млад един овчар. Той беше подхванал стара юнашка песен.
zhetvariat_02_yovkov_0014|Няма друг инструмент, тъй много пригоден за тая тъжна и разлята мелодия. Меко и сипкаво се строеха задушевните звуци и в тях всякаш нареждаше и редаеше жива човешка душа.
zhetvariat_02_yovkov_0015|Малко добре ни, малко светли минути бяха видели през живота си тия хора, забравили от коле бащи на стряха, петим ни за добра дума, за милувка и за обич.
zhetvariat_02_yovkov_0016|Те слушаха тая скръбна и нежна музика, ледът на душите им се разтапеше, събуждаха се неясни купнежи в тях, възкръсваха от колешни спомени.
zhetvariat_02_yovkov_0017|Всеки почувства, че го наляга черна и непонятна мъка и бързаше да я удави с повече вино. Чашите се изпиваха на един дъх и до капка.
zhetvariat_02_yovkov_0018|Имаше и сега провиквания, но те бяха редки и глухи. Секваха изведнъж и веднага след това лицата ставаха пак замислени и очите гледаха в земята навъсено и мрачно.
zhetvariat_02_yovkov_0019|Чомакът гледаше в дъното на чашата си като че гадаеше, пъшкаше и свирепо потегляше хайдушките си мустаци.
zhetvariat_02_yovkov_0020|Чуш на общото вълнение, като всеки разсеен или комислен човек остана само и родан ковачът. Той се щураше на сам нататък, говореше високо, накани се дори и да запее любимата си песен, но една силна ръка го хвана за шията, като с железни клещи, и го накара да седне на мястото си.
zhetvariat_02_yovkov_0021|"Сядай тук, диван е такова!"" Викаше му полугласно чомакът и го натискаше на стола. Ще те убия! Слушай! Свири челякът!"
zhetvariat_02_yovkov_0022|Очите му горяха от гняв, но в тях имаше сълзи.
zhetvariat_02_yovkov_0023|Малко по малко разговорите почнаха да се подновяват, глъчката се поусили. Но кавалът още държеше всички в чаруващата си власт.
zhetvariat_02_yovkov_0024|Радулов беше подпрел главата си на ръце и по-бледен, отколкото си беше слушаше за мечтан и за хласнат.
zhetvariat_02_yovkov_0025|До него гроздан стоеше прав и също мълчеше. Случайно погледът му се спря върху един старец с една ласамичък на страна.
zhetvariat_02_yovkov_0026|Той беше дядо Петър Коконата, селският кихая.
zhetvariat_02_yovkov_0027|— Дядо Петре, викна му гроздан като му подаваше чаша вино, какво си се замислил, Толгус, да не са ти потънали гимиите в морето? И аз и пийни, какво ще му мислиш?
zhetvariat_02_yovkov_0028|Дядо Петър пое чашата явно трогнато това внимание.
zhetvariat_02_yovkov_0029|Как да не мисля грозио! Кое време е? На Димитров ден е, пак аз, дето се вика и зърно не съм събрал за хака си. Не дават! Не дават и то и то!
zhetvariat_02_yovkov_0030|Той спичаше та, повърне на гроздана и си избърсва устните с ръкава на абата си.
zhetvariat_02_yovkov_0031|«Не дават и то и то», повтори той.
zhetvariat_02_yovkov_0032|Ще дадат, всички ще дадат! Утешаваше го Груздан. Сълски слуга си, няма да те оставят. Не дават, Бепиле, когато Вълчан, най-богатият, гдето се рекло не дава, какво остава до другите? Не давам, казва, повече от една крина. Ама не е тъй думъм, друга е сметката. Който, казва, ти е правил та сметка, той да ти плати. Върви, че се разправяй.
zhetvariat_02_yovkov_0033|Дядо Петре! Извика някой отдалеч. Оплачи се на дружеството! Дружество? Не ми трябва мене дружество. Аз съм сиромах човек.
zhetvariat_02_yovkov_0034|Груздане учители ци спогледаха и си засмяха.
zhetvariat_02_yovkov_0035|Нечакано кавалът на Дамиана поде реченица.
zhetvariat_02_yovkov_0036|Невидима ръка сякаш грабна болката от всяка душа и я замени веднага с веселие, същото е безгрижно, както порано. Лицата отново се проясниха, очите заблещяха, глъчката се засили.
zhetvariat_02_yovkov_0037|И заобщо посмешащ е, чумакът се изправи, провикна се и се приготви да играе. Направиха му място. Из полинат се залюля и се заклати, тромаво и тежко като мечка. Ни ръце, ни крака го слушаха.
zhetvariat_02_yovkov_0038|При едно малко по-голямо усилие да се подхвърли и да приклекне, нещо което според намерението му трябваше да излезе много грациозно, то изгуби равновесие, политна и се строполи като канера върху една маса.
zhetvariat_02_yovkov_0039|Избухна смях. Не можа да се удържи и Дамян, прехна и той да се смее и кавалът за млъкна.
zhetvariat_02_yovkov_0040|Тък му в това време в кръчмата влязоха няколко души. Ней Кукметът, секретар Бирникът, два матрима от по-богатите селени и между тях Вълчан Дуков. Те идаха от училището. Новото дружество трябваше да има там заседание, но то не стана, защото повечето членове, напуснати от слугите си и претрупани с работа, не бяха се явили. Въпреки това, влезналите имаха важни и надути лица, сякаш искаха да покажат, че те са се наели с една работа, която не е за всички.
zhetvariat_02_yovkov_0041|Шумът и разваление въздух в кръчмата като че ги отврати и ядоса. Без да се спират, се преминаха по краите с гяха и се изгубиха в отделната стайчка.
zhetvariat_02_yovkov_0042|Но чомакът, който още не беше се оправил както трябва от падането си, съпика съв Вълчана, догони го, сложи тежката си лапа върху рамото му и завика. – Бай Вълчане, за много години! Ела тука, ела! Аз черпя!
zhetvariat_02_yovkov_0043|Тая мечешка любезност не се хареса на Вълчана, но нямаше какво да си прави.
zhetvariat_02_yovkov_0044|Престорено зарадван, той се върна и седна на пейката, където чомакът го беше довлякал. Той продължаваше да го увещава. Седни тука! Ха-така! Ти си ми първият чорбаджи, ебе бай Валчани! Ти си ми учил на занаят? Какво ще пиеш, вин си ли? Аз черпя!
zhetvariat_02_yovkov_0045|"Ще черпиш, то се знае"", каза Вълчани Глезено по тегли чумак за един яму стак."
zhetvariat_02_yovkov_0046|Ще черпиш какво ще правиш, Димитров Дени. Днес господарите са слуги, а слугите господари. А, чете е, Холанд Бай Валчане, все ги знаеш ти я. Вино донес къньо. Та, тъй а. Днес слугите са слуги, а чакай, как го каза? А господарите господари. Не, не беше тъй.
zhetvariat_02_yovkov_0047|Вълчан се размия добродушно с нисходително и пак потегли чомака за дългия му стак.
zhetvariat_02_yovkov_0048|Отново той трябваше да му повтори и обясни думите си. Вълчан говореше разумно и сладко наистина, но на един малко книжовен език, чуш на чумака. На млади години той беше ходил чак в котел, учил беше една година в училището на Райно Попович и затова минаваше заучен човек. В празничен ден той пееше в черква и четеше апостола, говореше много често и кой знае защо, за някой си полски генерал Бем, й обичаше да употребява думи като человек, совест,
zhetvariat_02_yovkov_0049|Прекарал човек вече, слаб и сух, с очи дълбоко хладнали форбитите си, от което те изглеждаха като на кукумявка, той беше инак здрав и държалив, ходаше изправен и наперен като петел.
zhetvariat_02_yovkov_0050|Рядко той казваше някоя дума без да я придружи с някой жест или особен израз на лицето си.
zhetvariat_02_yovkov_0051|Овлечеше ли се пък, за да предизвика по-голямо внимание и да подчертая това, което говореше, той имаше обичай да мушка събеседника си да му дърпа ушите, да го чука по носа.
zhetvariat_02_yovkov_0052|Плюляково знаеха тия чудновати привички на стария чорбаджия и от немай къде ги търпяха.
zhetvariat_02_yovkov_0053|Домите на той човек течаха като река. С Чумака вече той водеше най-радушен разговор. Глъчката наоколо беше голяма и това го караше да вика и по-често да мушка Чумака в ребрата.
zhetvariat_02_yovkov_0054|Говоряха за времето, за последните дъждове, за новата древа, от която овцете ще хванат кръв.
zhetvariat_02_yovkov_0055|Станат дума и за пакостите от вълците, а от там разговорът премина и върху кучетата.
zhetvariat_02_yovkov_0056|Вълчан разказваше, а той обичаше да се хвали какви кучета беше имал едно време. Големи и рунтави като мечки, люти и зли като змия на долска порода.
zhetvariat_02_yovkov_0057|и не лаяха дип да речеш. Мълчат, гледат към земята и само очите им светят като въгляни. Ама видят ли вълк? Беше. Право отгоре му. И тъй, гърди с гърди.
zhetvariat_02_yovkov_0058|И за да покаже това по-нагледно, той силно блъскаше чума къв гърдите.
zhetvariat_02_yovkov_0059|Вълчане
zhetvariat_02_yovkov_0060|Извика високо някои. Вълчан се обърна.
zhetvariat_02_yovkov_0061|Сред кръчмата беше застанал дядо Петър. Един само той още загрижен и сплъчливо лице сред толкова весели хора.
zhetvariat_02_yovkov_0062|Бълчани, я слушай! Повтори той.
zhetvariat_02_yovkov_0063|Вълчан се обърне и само го изгледа недоволен, че прекъснаха разговора му тък му на най-хубавото място.
zhetvariat_02_yovkov_0064|Вълчане, я слушай! Настояваше дядо Петър. Какво искаш? Сопна се Вълчан вече е досън. Какво искам? Ами хакът ми кога ще се събере? Хакът ми беджанам. Ти колко имаш да взимаш от мене? Една крина. Казах ти ела и си я вземи. Ама не е тъй. Комшиите друго наредиха. Който е наредил друго, нека той ти плати.
zhetvariat_02_yovkov_0065|Вълчан се готвеше отново да продължи разговора си с Чумака, но предя до Петра се изправи гроздан.
zhetvariat_02_yovkov_0066|Не е тай Бай Вълчани. Намеси се той и макар и да говорише наглед спокойно, явно беше, че едва задържаше яда си.
zhetvariat_02_yovkov_0067|Не е тъй. Хакът тази година няма да се разхвърля на къща, а на декар. И право е. Който има повече и повече ще плати.
zhetvariat_02_yovkov_0068|Сиръч, и аз да платя повече! Не! Той си човек е служил на мене толкова, сколкото и на ваша милост. Нови закони ли ще изваждаме в Старо село? Не може тъй, не! Може и ще бъде. Умря то старото. Тъй сте се научили ви. Ама няма вече кой да ви подлага гръб. Няма вече слепи хора. Тъй ли... Засмя си езвително вълчан. Тъй ли те учи твоето, чител?
zhetvariat_02_yovkov_0069|и той погледна към Радулова, който загърнат в черната си пелерина, слушаше усмихнат.
zhetvariat_02_yovkov_0070|Никой не ме учи мене. Избухна Гроздан. Който е богат, ще плаща повече. И на Кехая, и на община, и на държава. Тей знам аз. Имаш, ще платиш. Имам я, имам. Ама питаш ли ме как съм печелил? Работил съм. Работил съм и не съм стоял по кръчмите като тебе.
zhetvariat_02_yovkov_0071|В очите на Груздана блеснаха изкрии. Той пристъпи една крачка напред.
zhetvariat_02_yovkov_0072|Не те е срам! – извика той. Знаеш само хорска мъка да едеш! Вълчан скочи като ожилен. Лицата му пребледня, долната му челюст затрепера, очите му още по-дълбоко путанаха в орбитите си. Коя мъка съм изял, бе, магарски сине! – присипнало извика той. Кажи, де! Кажи! Без да му отговори нещо, Груздан го измерваше само с поглед пълен с презрение и умраза.
zhetvariat_02_yovkov_0073|Кръчмата стана съвсем тихо.
zhetvariat_02_yovkov_0074|Всички бяха се обърнали и слушаха. Вълчан, възбуден от собствения си глас отчаяно махаше с ръце срещу Груздана и повтаряше – Кажи де, кажи, на кого съм изял нещо, а?
zhetvariat_02_yovkov_0075|Той вече се огледваше победоносно и гордо. — Холанд, бай Вълчане! — спокойно се обади някой. — Не викай толкоз. Никому нищо не си бил изял. А двата Наполеона от моя хак, ни ги ли изяде? А моя ямурлук? — обади се друг. — Пазарлъка ни беше, а не ми го даде. Хайде, хайде, да не си отварям устата и аз, бай Вълчане, не помниш ли?
